,name,longitude,latitude,category,geometry
0,Restaurante Casa Pello,-3.677944784338546,40.45875016774456,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45875016774456, -3.677944784338546)}"
1,Norte y Sur II,-3.6745882855217094,40.45846441076835,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45846441076835, -3.6745882855217094)}"
2,La Landa,-3.674344999719425,40.4582182937892,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.4582182937892, -3.674344999719425)}"
3,Goiko Grill,-3.6809344035827483,40.45849297519417,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45849297519417, -3.6809344035827483)}"
4,El Enfriador de Alcocer,-3.678613612918736,40.458688143803776,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.458688143803776, -3.678613612918736)}"
5,Cachivache Taberna,-3.677956756463268,40.45454335548046,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45454335548046, -3.677956756463268)}"
6,El Jamón del Abuelo,-3.6801426945673104,40.45700406162905,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45700406162905, -3.6801426945673104)}"
7,PAIPÁI,-3.675982,40.460091,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.460091, -3.675982)}"
8,La Cecilia de Allende,-3.6800894361436542,40.45867214988796,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45867214988796, -3.6800894361436542)}"
9,Desencaja,-3.6811236,40.4560859,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.4560859, -3.6811236)}"
10,El Qüenco,-3.6845415429248884,40.4585874596887,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.4585874596887, -3.6845415429248884)}"
11,Ganges,-3.678221845108094,40.45782524370241,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45782524370241, -3.678221845108094)}"
12,Mallorca,-3.6789076368877627,40.45867629465799,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45867629465799, -3.6789076368877627)}"
13,Pipa&Co,-3.6818397032342016,40.45865057694518,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45865057694518, -3.6818397032342016)}"
14,El Telégrafo,-3.6854256159405967,40.45969755116355,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45969755116355, -3.6854256159405967)}"
15,Ikura CR,-3.6736473975375903,40.45851524224772,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45851524224772, -3.6736473975375903)}"
16,Mar Y Tierra,-3.6785116,40.455597,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.455597, -3.6785116)}"
17,99 Sushi Bar,-3.6857524804583517,40.45865573008183,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45865573008183, -3.6857524804583517)}"
18,El Qüenco de Pepa,-3.6845505164314756,40.460250549345105,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.460250549345105, -3.6845505164314756)}"
19,DiverXO,-3.6859452102260923,40.45776723850396,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45776723850396, -3.6859452102260923)}"
20,Nipon Taro,-3.6791641507236617,40.454316151055245,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.454316151055245, -3.6791641507236617)}"
21,Top One,-3.6856835116133304,40.458189283078,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.458189283078, -3.6856835116133304)}"
22,Fass,-3.6785360503175046,40.451570202748606,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.451570202748606, -3.6785360503175046)}"
23,Baby Beef Rubaiyat,-3.6866983620654064,40.460833559967575,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.460833559967575, -3.6866983620654064)}"
24,Cuarto y Mitad,-3.6778855511483006,40.459151041590026,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.459151041590026, -3.6778855511483006)}"
25,Go! Sushing,-3.6813275920867032,40.453894851932866,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.453894851932866, -3.6813275920867032)}"
26,Taberna Bodega vieja,-3.674439478613665,40.453648677017796,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.453648677017796, -3.674439478613665)}"
27,Taberna Ansorena,-3.679237455730084,40.45480058233269,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45480058233269, -3.679237455730084)}"
28,Nago,-3.6707217870749957,40.46338565573042,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46338565573042, -3.6707217870749957)}"
29,McDonald's,-3.681713559065075,40.45877734111405,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45877734111405, -3.681713559065075)}"
30,Al Paseo,-3.683489277134257,40.454466218826354,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.454466218826354, -3.683489277134257)}"
31,El Cacique,-3.685273363777068,40.46258697891609,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46258697891609, -3.685273363777068)}"
32,Restaurante Omar,-3.6875299312459315,40.45602911189381,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45602911189381, -3.6875299312459315)}"
33,Sacha,-3.687201953668992,40.46097546436774,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46097546436774, -3.687201953668992)}"
34,Le Coq,-3.676587762603451,40.45746817203812,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45746817203812, -3.676587762603451)}"
35,Samm,-3.6699219438279886,40.464160666233454,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.464160666233454, -3.6699219438279886)}"
36,Neguri Pinchos,-3.6731666603634667,40.458516363780355,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.458516363780355, -3.6731666603634667)}"
37,Alfredo's Barbacoa,-3.687252167,40.460468814,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.460468814, -3.687252167)}"
38,Teckel,-3.680352650364218,40.45180595898164,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45180595898164, -3.680352650364218)}"
39,La Gilda,-3.6802646018795775,40.45812531073143,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45812531073143, -3.6802646018795775)}"
40,Mesón Cinco Jotas,-3.6855369537895433,40.459068567385515,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.459068567385515, -3.6855369537895433)}"
41,Gerardo,-3.6791458835776036,40.4579098247881,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.4579098247881, -3.6791458835776036)}"
42,La Martingala,-3.6870462224894913,40.46255326205104,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46255326205104, -3.6870462224894913)}"
43,Bienmesabe,-3.6851933389400537,40.46418939084717,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46418939084717, -3.6851933389400537)}"
44,Allo Pizza,-3.6871761280318136,40.461486520250006,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.461486520250006, -3.6871761280318136)}"
45,Papa John's Pizza,-3.6807814,40.452957,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.452957, -3.6807814)}"
46,La Tragantia,-3.6772568222251736,40.45152110978045,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45152110978045, -3.6772568222251736)}"
47,Donde Marian,-3.671797705210252,40.46325493692422,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46325493692422, -3.671797705210252)}"
48,La Chamartina,-3.686562745082109,40.46113654391626,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.46113654391626, -3.686562745082109)}"
49,NOUBA,-3.6873958396546507,40.45937978915987,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.45937978915987, -3.6873958396546507)}"
50,Baby Grill Rubaiyat,-3.6871176807559958,40.4602347554505,Restaurants and Nightlife,"{'type': 'Point', 'coordinates': (40.4602347554505, -3.6871176807559958)}"
