,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,status,newDevelopment,hasLift,geometry
0,2,1300.0,flat,rent,56.0,False,2,1,Caroli,Madrid,Madrid,Moncloa,Aravaca,40.4552282,-3.7844942,False,https://www.idealista.com/inmueble/87636636/,good,False,False,"{'type': 'Point', 'coordinates': (40.4552282, -3.7844942)}"
2,4,1600.0,flat,rent,110.0,True,3,2,barrio Cuatro Caminos,Madrid,Madrid,Tetuán,Cuatro Caminos,40.4524044,-3.6977553,False,https://www.idealista.com/inmueble/87657390/,good,False,True,"{'type': 'Point', 'coordinates': (40.4524044, -3.6977553)}"
3,3,1200.0,flat,rent,65.0,False,2,1,Calle de los Cabestreros,Madrid,Madrid,Centro,Lavapiés-Embajadores,40.4071148,-3.7044974,False,https://www.idealista.com/inmueble/87657334/,good,False,False,"{'type': 'Point', 'coordinates': (40.4071148, -3.7044974)}"
4,4,1500.0,penthouse,rent,86.0,True,2,1,Calle Malcampo,Madrid,Madrid,Chamartín,Ciudad Jardín,40.4472445,-3.6750689,False,https://www.idealista.com/inmueble/87657328/,good,False,True,"{'type': 'Point', 'coordinates': (40.4472445, -3.6750689)}"
5,2,1700.0,flat,rent,65.0,False,2,1,Calle del Divino Pastor,Madrid,Madrid,Centro,Malasaña-Universidad,40.4288303,-3.7050331,False,https://www.idealista.com/inmueble/87657354/,good,False,True,"{'type': 'Point', 'coordinates': (40.4288303, -3.7050331)}"
6,4,970.0,flat,rent,58.0,False,2,1,Calle de Cuchilleros,Madrid,Madrid,Centro,Sol,40.416321,-3.706578,False,https://www.idealista.com/inmueble/87657327/,good,False,True,"{'type': 'Point', 'coordinates': (40.416321, -3.706578)}"
7,5,5400.0,flat,rent,340.0,True,5,5,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4273306,-3.6862619,False,https://www.idealista.com/inmueble/87657322/,good,False,True,"{'type': 'Point', 'coordinates': (40.4273306, -3.6862619)}"
8,3,1200.0,flat,rent,70.0,True,1,1,mayor,Madrid,Madrid,Centro,Palacio,40.4153013,-3.7106964,False,https://www.idealista.com/inmueble/87657321/,good,False,True,"{'type': 'Point', 'coordinates': (40.4153013, -3.7106964)}"
10,3,999.0,flat,rent,50.0,True,1,1,barrio Palacio,Madrid,Madrid,Centro,Palacio,40.4195531,-3.7086792,False,https://www.idealista.com/inmueble/87657283/,good,False,True,"{'type': 'Point', 'coordinates': (40.4195531, -3.7086792)}"
11,1,950.0,duplex,rent,80.0,True,1,2,JULIAN CAMARILLO,Madrid,Madrid,San Blas,Simancas,40.4375747,-3.6212785,False,https://www.idealista.com/inmueble/87657308/,good,False,True,"{'type': 'Point', 'coordinates': (40.4375747, -3.6212785)}"
12,1,1300.0,flat,rent,85.0,True,3,1,Ortega y Gasset,Madrid,Madrid,Salamanca,Lista,40.4278081,-3.6724735,False,https://www.idealista.com/inmueble/87657307/,good,False,True,"{'type': 'Point', 'coordinates': (40.4278081, -3.6724735)}"
13,0,1200.0,flat,rent,65.0,False,2,1,Calle del Tutor,Madrid,Madrid,Moncloa,Argüelles,40.4309583,-3.7152548,False,https://www.idealista.com/inmueble/87657159/,good,False,True,"{'type': 'Point', 'coordinates': (40.4309583, -3.7152548)}"
14,6,1100.0,flat,rent,76.0,True,1,1,Calle de López de Hoyos,Madrid,Madrid,Chamartín,Prosperidad,40.4449963,-3.6731838,False,https://www.idealista.com/inmueble/87657230/,good,False,True,"{'type': 'Point', 'coordinates': (40.4449963, -3.6731838)}"
15,4,3300.0,flat,rent,200.0,True,4,2,Avenida PIO XII,Madrid,Madrid,Chamartín,Nueva España,40.4648684,-3.6688569,False,https://www.idealista.com/inmueble/87657266/,good,False,True,"{'type': 'Point', 'coordinates': (40.4648684, -3.6688569)}"
16,8,2800.0,flat,rent,150.0,True,3,2,Calle del Príncipe de Vergara,Madrid,Madrid,Salamanca,Recoletos,40.425236,-3.6794088,False,https://www.idealista.com/inmueble/87657265/,good,False,True,"{'type': 'Point', 'coordinates': (40.425236, -3.6794088)}"
18,5,1250.0,flat,rent,45.0,False,1,1,Calle de Julián Besteiro,Madrid,Madrid,Tetuán,Cuzco-Castillejos,40.4575318,-3.6971671,False,https://www.idealista.com/inmueble/87657246/,good,False,True,"{'type': 'Point', 'coordinates': (40.4575318, -3.6971671)}"
20,5,3250.0,flat,rent,180.0,True,3,2,Via Gran,Madrid,Madrid,Centro,Malasaña-Universidad,40.4213391,-3.7080923,False,https://www.idealista.com/inmueble/87657218/,good,False,True,"{'type': 'Point', 'coordinates': (40.4213391, -3.7080923)}"
22,1,1280.0,flat,rent,55.0,False,2,1,barrio Trafalgar,Madrid,Madrid,Chamberí,Trafalgar,40.4346119,-3.6988407,False,https://www.idealista.com/inmueble/87657202/,good,False,True,"{'type': 'Point', 'coordinates': (40.4346119, -3.6988407)}"
23,1,790.0,flat,rent,50.0,True,2,1,Avenida de Betanzos,Madrid,Madrid,Fuencarral,Pilar,40.4725953,-3.7103445,False,https://www.idealista.com/inmueble/87657200/,good,False,True,"{'type': 'Point', 'coordinates': (40.4725953, -3.7103445)}"
24,3,2200.0,flat,rent,125.0,True,2,2,barrio Cuatro Caminos,Madrid,Madrid,Tetuán,Cuatro Caminos,40.4559459,-3.6929788,False,https://www.idealista.com/inmueble/87657183/,good,False,True,"{'type': 'Point', 'coordinates': (40.4559459, -3.6929788)}"
